EmployeeID,PosGerencial,Priority,TotalRecords,BaselineRecords,PostBaselineRecords,BaselineEntry,BaselineExit,Anomalies,HasAnomaly
E1001,NaoGerente,NORMAL,195,30,165,516.7666666666667,1046.3,14,True
E1002,Gerente,HIGH,195,30,165,507.6666666666667,1015.7666666666667,22,True
E1003,NaoGerente,NORMAL,195,30,165,507.93333333333334,1049.2,13,True
E1004,NaoGerente,NORMAL,195,30,165,524.9,1042.9666666666667,20,True
E1005,NaoGerente,NORMAL,195,30,165,531.0333333333333,1045.2,26,True
E1006,Gerente,HIGH,195,30,165,528.4333333333333,1050.2666666666667,20,True
E1007,NaoGerente,NORMAL,195,30,165,524.7333333333333,1064.0,13,True
E1008,NaoGerente,NORMAL,195,30,165,511.6333333333333,1053.7,23,True
E1009,NaoGerente,NORMAL,195,30,165,518.1,1038.4,16,True
E1010,NaoGerente,NORMAL,195,30,165,527.3,1047.1,18,True
E1011,NaoGerente,NORMAL,195,30,165,524.6,1044.4333333333334,14,True
E1012,Gerente,HIGH,195,30,165,527.9,1045.6333333333334,22,True
E1013,NaoGerente,NORMAL,195,30,165,506.46666666666664,1031.8666666666666,17,True
E1014,NaoGerente,NORMAL,195,30,165,519.6666666666666,1046.9,16,True
E1015,NaoGerente,NORMAL,195,30,165,510.73333333333335,1042.1,17,True
E1016,NaoGerente,NORMAL,195,30,165,530.9,1041.3333333333333,26,True
E1017,NaoGerente,NORMAL,195,30,165,524.8666666666667,1050.7333333333333,20,True
E1018,Gerente,HIGH,195,30,165,521.0,1052.7333333333333,19,True
E1019,NaoGerente,NORMAL,195,30,165,516.9,1039.3333333333333,23,True
E1020,Gerente,HIGH,195,30,165,522.5333333333333,1053.1333333333334,16,True
E1021,NaoGerente,NORMAL,195,30,165,526.6666666666666,1039.6333333333334,15,True
E1022,NaoGerente,NORMAL,195,30,165,520.7,1038.5333333333333,18,True
E1023,Gerente,HIGH,195,30,165,511.56666666666666,1035.8333333333333,22,True
E1024,NaoGerente,NORMAL,195,30,165,520.6,1056.7666666666667,16,True
E1025,NaoGerente,NORMAL,195,30,165,522.6666666666666,1040.2666666666667,18,True
E1026,NaoGerente,NORMAL,195,30,165,511.9,1033.7333333333333,19,True
E1027,Gerente,HIGH,195,30,165,518.0666666666667,1043.5666666666666,15,True
E1028,Gerente,HIGH,195,30,165,516.9666666666667,1041.7666666666667,17,True
E1029,NaoGerente,NORMAL,195,30,165,527.8666666666667,1056.0666666666666,10,True
E1030,Gerente,HIGH,195,30,165,524.2,1042.5666666666666,14,True
E1031,NaoGerente,NORMAL,195,30,165,520.2666666666667,1046.1666666666667,15,True
E1032,NaoGerente,NORMAL,195,30,165,510.3666666666667,1048.9,21,True
E1033,NaoGerente,NORMAL,195,30,165,516.5333333333333,1043.9333333333334,12,True
E1034,NaoGerente,NORMAL,195,30,165,523.8666666666667,1046.3,20,True
E1035,NaoGerente,NORMAL,195,30,165,512.7666666666667,1043.9333333333334,22,True
E1036,Gerente,HIGH,195,30,165,520.4,1044.6333333333334,17,True
E1037,NaoGerente,NORMAL,195,30,165,529.6666666666666,1056.2333333333333,21,True
E1038,NaoGerente,NORMAL,195,30,165,523.2666666666667,1061.5666666666666,19,True
E1039,NaoGerente,NORMAL,195,30,165,529.2333333333333,1044.2333333333333,20,True
E1040,NaoGerente,NORMAL,195,30,165,525.4,1050.5333333333333,21,True
E1041,NaoGerente,NORMAL,195,30,165,518.1333333333333,1039.7,17,True
E1042,Gerente,HIGH,195,30,165,521.8666666666667,1041.2333333333333,13,True
E1043,NaoGerente,NORMAL,195,30,165,519.8333333333334,1049.5333333333333,13,True
E1044,NaoGerente,NORMAL,195,30,165,517.0666666666667,1041.3666666666666,14,True
E1045,NaoGerente,NORMAL,195,30,165,517.0333333333333,1048.3666666666666,21,True
E1046,NaoGerente,NORMAL,195,30,165,526.7333333333333,1048.3666666666666,24,True
E1047,NaoGerente,NORMAL,195,30,165,520.2333333333333,1048.2666666666667,17,True
E1048,NaoGerente,NORMAL,195,30,165,522.0666666666667,1046.8666666666666,16,True
E1049,NaoGerente,NORMAL,195,30,165,518.9333333333333,1049.7666666666667,11,True
E1050,NaoGerente,NORMAL,195,30,165,518.5333333333333,1045.8666666666666,18,True
E1051,NaoGerente,NORMAL,195,30,165,531.6666666666666,1047.7333333333333,10,True
E1052,NaoGerente,NORMAL,195,30,165,534.3,1059.5666666666666,18,True
E1053,NaoGerente,NORMAL,195,30,165,519.9666666666667,1045.9,13,True
E1054,NaoGerente,NORMAL,195,30,165,515.5333333333333,1033.0333333333333,23,True
E1055,NaoGerente,NORMAL,195,30,165,524.4666666666667,1045.8333333333333,16,True
E1056,NaoGerente,NORMAL,195,30,165,518.9666666666667,1043.8333333333333,15,True
E1057,Gerente,HIGH,195,30,165,511.0,1045.6666666666667,18,True
E1058,NaoGerente,NORMAL,195,30,165,530.4,1048.7,15,True
E1059,NaoGerente,NORMAL,195,30,165,515.4333333333333,1032.9666666666667,11,True
E1060,NaoGerente,NORMAL,195,30,165,512.1666666666666,1053.0,9,True
E1061,NaoGerente,NORMAL,195,30,165,518.2666666666667,1053.9333333333334,20,True
E1062,NaoGerente,NORMAL,195,30,165,517.2,1046.4333333333334,20,True
E1063,NaoGerente,NORMAL,195,30,165,522.0,1036.3666666666666,14,True
E1064,NaoGerente,NORMAL,195,30,165,525.4,1047.7,22,True
E1065,NaoGerente,NORMAL,195,30,165,523.4,1041.1666666666667,16,True
E1066,NaoGerente,NORMAL,195,30,165,532.0666666666667,1050.6666666666667,23,True
E1067,NaoGerente,NORMAL,195,30,165,520.3666666666667,1046.4,25,True
E1068,NaoGerente,NORMAL,195,30,165,516.7666666666667,1026.5666666666666,17,True
E1069,NaoGerente,NORMAL,195,30,165,515.5,1057.8666666666666,11,True
E1070,NaoGerente,NORMAL,195,30,165,513.7666666666667,1022.5,19,True
E1071,NaoGerente,NORMAL,195,30,165,526.8333333333334,1063.2666666666667,22,True
E1072,NaoGerente,NORMAL,195,30,165,516.0333333333333,1057.2333333333333,18,True
